Antibiotic,Model,R2,MAE,RMSE,Best
VAN,Ridge,0.7335,0.9971,1.2468,True
VAN,ElasticNet,0.7334,0.9968,1.247,False
VAN,RandomForest,0.7218,1.0121,1.2737,False
VAN,GradientBoost,0.7197,1.0151,1.2787,False
GEN,Ridge,0.4652,1.3677,1.7874,False
GEN,ElasticNet,0.4655,1.3684,1.7869,False
GEN,RandomForest,0.4739,1.3514,1.7729,False
GEN,GradientBoost,0.4802,1.3539,1.7623,True
CAZ,Ridge,0.716,1.1088,1.4025,False
CAZ,ElasticNet,0.7161,1.1081,1.4021,True
CAZ,RandomForest,0.7069,1.1319,1.4248,False
CAZ,GradientBoost,0.7048,1.1384,1.4298,False
CIP,Ridge,0.0409,2.8661,3.4683,False
CIP,ElasticNet,0.041,2.8661,3.4682,False
CIP,RandomForest,0.0971,2.7479,3.3652,True
CIP,GradientBoost,0.0946,2.7572,3.3699,False
AMC,Ridge,0.2494,1.6832,2.0758,False
AMC,ElasticNet,0.2494,1.6835,2.0758,False
AMC,RandomForest,0.271,1.6297,2.0458,False
AMC,GradientBoost,0.2787,1.6142,2.035,True
ERY,Ridge,0.4245,2.3393,2.8741,False
ERY,ElasticNet,0.4247,2.3411,2.8735,True
ERY,RandomForest,0.4183,2.3719,2.8894,False
ERY,GradientBoost,0.4196,2.3114,2.8863,False
